_id	artists	audio_features.acousticness	audio_features.analysis_url	audio_features.danceability	audio_features.duration_ms	audio_features.energy	audio_features.id	audio_features.instrumentalness	audio_features.key	audio_features.liveness	audio_features.loudness	audio_features.mode	audio_features.speechiness	audio_features.tempo	audio_features.time_signature	audio_features.track_href	audio_features.type	audio_features.uri	audio_features.valence	name	tags	type	class
5def6aa254d79fcf0de3ec66	Lady Gaga	0.00314	https://api.spotify.com/v1/audio-analysis/0SiywuOBRcynK0uKGWdCnn	0.696	294573	0.921	0SiywuOBRcynK0uKGWdCnn	0.0000524	0	0.0842	-3.755	1	0.0363	119.001	4	https://api.spotify.com/v1/tracks/0SiywuOBRcynK0uKGWdCnn	audio_features	spotify:track:0SiywuOBRcynK0uKGWdCnn	0.714	Bad Romance	"['Club', 'Heartache', 'In Love', 'Girls Night Out', 'Partying']"	Hit	Love
5def6aa254d79fcf0de3ec6a	Sam Hunt	0.0951	https://api.spotify.com/v1/audio-analysis/3wx2kQWPn9p5UppQbNhPAk	0.514	192160	0.951	3wx2kQWPn9p5UppQbNhPAk	0	9	0.349	-3.813	1	0.0603	171.96	4	https://api.spotify.com/v1/tracks/3wx2kQWPn9p5UppQbNhPAk	audio_features	spotify:track:3wx2kQWPn9p5UppQbNhPAk	0.838	Leave The Night On	"['Hanging Out', 'New Love', 'Partying']"	Hit	Love
5def6aa254d79fcf0de3ec6b	Justin Bieber	0.159	https://api.spotify.com/v1/audio-analysis/69ghzc538EQSVon2Gm3wrr	0.58	229107	0.75	69ghzc538EQSVon2Gm3wrr	0	4	0.274	-4.421	1	0.194	86.938	4	https://api.spotify.com/v1/tracks/69ghzc538EQSVon2Gm3wrr	audio_features	spotify:track:69ghzc538EQSVon2Gm3wrr	0.728	One Less Lonely Girl	"['Heartache', 'Hanging Out', 'In Love']"	Non-hit	Love
5def6aa254d79fcf0de3ec6e	Jesse McCartney Featuring Ludacris	0.343	https://api.spotify.com/v1/audio-analysis/3jkdQNkDTxxXtjSO4l0o1H	0.747	208333	0.878	3jkdQNkDTxxXtjSO4l0o1H	0	8	0.0872	-3.533	1	0.0282	106.004	4	https://api.spotify.com/v1/tracks/3jkdQNkDTxxXtjSO4l0o1H	audio_features	spotify:track:3jkdQNkDTxxXtjSO4l0o1H	0.557	How Do You Sleep?	"['Girls Night Out', 'Club', 'Heartache', 'In Love', 'Summer']"	Hit	Love
5def6aa254d79fcf0de3ec70	Sam Hunt	0.0749	https://api.spotify.com/v1/audio-analysis/7aftSOGSOpSoIlVAQVBb71	0.579	229880	0.776	7aftSOGSOpSoIlVAQVBb71	0	8	0.239	-5.365	1	0.173	136.044	4	https://api.spotify.com/v1/tracks/7aftSOGSOpSoIlVAQVBb71	audio_features	spotify:track:7aftSOGSOpSoIlVAQVBb71	0.434	Break Up In A Small Town	"['Breakup', 'Guys Night Out', 'Reflection']"	Non-hit	Breakup
5def6aa254d79fcf0de3ec71	Taylor Swift	0.216	https://api.spotify.com/v1/audio-analysis/6NFyWDv5CjfwuzoCkw47Xf	0.75	232253	0.404	6NFyWDv5CjfwuzoCkw47Xf	0.000357	9	0.0911	-10.178	0	0.0682	95.045	4	https://api.spotify.com/v1/tracks/6NFyWDv5CjfwuzoCkw47Xf	audio_features	spotify:track:6NFyWDv5CjfwuzoCkw47Xf	0.0499	Delicate	"['In Love', 'New Love']"	Hit	Love
5def6aa254d79fcf0de3ec72	Luke Bryan	0.257	https://api.spotify.com/v1/audio-analysis/7A5CReD6yWe0rrkJym34QI	0.581	239413	0.691	7A5CReD6yWe0rrkJym34QI	0	9	0.11	-5.33	1	0.0333	137.985	4	https://api.spotify.com/v1/tracks/7A5CReD6yWe0rrkJym34QI	audio_features	spotify:track:7A5CReD6yWe0rrkJym34QI	0.299	Do I	['Breakup']	Non-hit	Breakup
5def6aa254d79fcf0de3ec75	Nicki Minaj	0.0668	https://api.spotify.com/v1/audio-analysis/794F99D5BQHS5ZGRXAs7I5	0.964	260240	0.605	794F99D5BQHS5ZGRXAs7I5	0.00000778	9	0.214	-6.223	1	0.179	129.994	4	https://api.spotify.com/v1/tracks/794F99D5BQHS5ZGRXAs7I5	audio_features	spotify:track:794F99D5BQHS5ZGRXAs7I5	0.646	Anaconda	"['Cool & Cocky', 'Girls Night Out', 'Sex']"	Hit	Love
5def6aa254d79fcf0de3ec78	Jay Sean Featuring Sean Paul & Lil Jon	0.0242	https://api.spotify.com/v1/audio-analysis/7yws3pF3FFguwT2Psi6c15	0.855	210307	0.668	7yws3pF3FFguwT2Psi6c15	0	11	0.102	-4.892	1	0.0644	125.846	4	https://api.spotify.com/v1/tracks/7yws3pF3FFguwT2Psi6c15	audio_features	spotify:track:7yws3pF3FFguwT2Psi6c15	0.803	Do You Remember	"['Late Night', 'Seduction', 'Club', 'Hanging Out', 'Girls Night Out']"	Hit	Love
5def6aa254d79fcf0de3ec79	Taylor Swift	0.186	https://api.spotify.com/v1/audio-analysis/1GwMQaZz6Au3QLDbjbMdme	0.598	203507	0.504	1GwMQaZz6Au3QLDbjbMdme	0.000221	9	0.34	-9.874	1	0.0731	163.954	4	https://api.spotify.com/v1/tracks/1GwMQaZz6Au3QLDbjbMdme	audio_features	spotify:track:1GwMQaZz6Au3QLDbjbMdme	0.252	Call It What You Want	['In Love']	Non-hit	Love
