id,class,artists,name,acousticness,danceability,duration_ms,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,mode,key,time_signature
1r3myKmjWoOqRip99CmSj1,hit,Jason Derulo,Don't Wanna Go Home,0.02,0.671,206080,0.808,0.0,0.134,-4.861,0.0652,121.956,0.637,0,2,4
1nueTG77MzNkJTKQ0ZdGzT,hit,Maroon 5 Featuring Kendrick Lamar,Don't Wanna Know,0.343,0.783,214265,0.61,0.0,0.0983,-6.124,0.0696,100.047,0.418,1,7,4
3Qe097eJNp9MfpT2PieEw0,non-hit,Brett Eldredge,Don't Ya,0.0566,0.537,181210,0.693,0.0,0.146,-5.256,0.0847,176.004,0.581,1,9,4
6pymOcrCnMuCWdgGVTvUgP,hit,Britney Spears,3,0.0452,0.697,213173,0.709,0.0,0.138,-1.917,0.0455,134.91,0.787,0,5,4
6r2BECwMgEoRb5yLfp0Hca,hit,Lady Gaga,Born This Way,0.00327,0.587,260253,0.828,0.0,0.331,-5.108,0.161,123.907,0.494,1,11,4
1nZzRJbFvCEct3uzu04ZoL,hit,Katy Perry,Part Of Me,0.000417,0.678,216160,0.918,0.0,0.0744,-4.63,0.0355,130.028,0.769,1,5,4
5xTtaWoae3wi06K5WfVUUH,hit,Taylor Swift,Shake It Off,0.0561,0.648,219200,0.785,0.0,0.148,-5.414,0.165,160.02,0.943,1,7,4
0PDUDa38GO8lMxLCRc4lL1,hit,Zayn,Pillowtalk,0.117,0.584,202747,0.7,0.0,0.0939,-4.275,0.0456,124.944,0.438,1,11,4
1WkMMavIMc4JZ8cfMmxHkI,hit,Justin Timberlake,Can't Stop The Feeling!,0.0106,0.669,237547,0.832,0.0,0.0968,-5.72,0.0682,113.035,0.7,1,0,4
7qiZfU4dY1lWllzX7mPBI3,hit,Ed Sheeran,Shape Of You,0.581,0.825,233713,0.652,0.0,0.0931,-3.183,0.0802,95.977,0.931,0,1,4
3e9HZxeyfWwjeyPAMmWSSQ,non-hit,Ariana Grande,"Thank U, Next",0.229,0.717,207320,0.653,0.0,0.101,-5.634,0.0658,106.966,0.412,1,1,4
5Q0Nhxo0l2bP3pNjpGJwV1,hit,Miley Cyrus,Party In The U.S.A.,0.00112,0.652,202067,0.698,0.000115,0.0886,-4.667,0.042,96.021,0.47,0,10,4
6tS3XVuOyu10897O3ae7bi,hit,Katy Perry Featuring Snoop Dogg,California Gurls,0.00446,0.791,234653,0.754,0.0,0.163,-3.729,0.0569,125.014,0.425,1,0,4
0171XsIM2xyeXRr6wsugEI,hit,Justin Bieber,Boyfriend,0.0358,0.717,171333,0.55,0.00196,0.126,-6.019,0.0521,96.976,0.332,0,10,4
5T7ZFtCcOgkpjxcuaeZbw0,hit,One Direction,Best Song Ever,0.0227,0.652,200107,0.877,0.0,0.0789,-2.986,0.0465,118.491,0.486,1,1,4
09CtPGIpYB4BrO8qb1RGsF,hit,Justin Bieber,Sorry,0.0797,0.654,200787,0.76,0.0,0.299,-3.669,0.045,99.945,0.41,0,0,4
7zsXy7vlHdItvUSH8EwQss,hit,Major Lazer Featuring Justin Bieber & MO,Cold Water,0.0736,0.608,185360,0.798,0.0,0.156,-5.092,0.0432,92.943,0.501,0,6,4
0e7ipj03S05BNilyu5bRzt,hit,Post Malone Featuring 21 Savage,Rockstar,0.124,0.585,218147,0.52,7.01e-05,0.131,-6.136,0.0712,159.801,0.129,0,5,4
3swc6WTsr7rl9DqQKQA55C,hit,Post Malone Featuring Ty Dolla $ign,Psycho,0.546,0.75,221440,0.56,0.0,0.111,-8.094,0.105,140.06,0.459,1,8,4
0JNdS1n0ifOP25XvhwAMgM,hit,Lady Gaga,The Edge Of Glory,0.000343,0.581,320587,0.772,0.0191,0.11,-6.544,0.0401,127.952,0.361,1,9,4
3FFcZZq3Z3EJrhUecwcMdG,hit,Lil Wayne Featuring Drake,She Will,0.000402,0.364,305840,0.841,0.0,0.242,-4.831,0.119,100.14,0.0837,1,8,5
1LmN9SSHISbtp9LoaR5ZVJ,hit,Maroon 5 Featuring Wiz Khalifa,Payphone,0.0136,0.739,231387,0.756,0.0,0.37,-4.828,0.0394,110.028,0.523,1,4,4
6Xk7PnitV9jCRorWt2LiVZ,hit,Eminem,Berzerk,0.0217,0.739,238746,0.872,0.0,0.26,-4.059,0.333,95.084,0.684,0,11,4
7vS3Y0IKjde7Xg85LWIEdP,hit,Ariana Grande Featuring Iggy Azalea,Problem,0.0192,0.66,193920,0.805,8.83e-06,0.159,-5.352,0.153,103.009,0.625,0,1,4
7qvxFz3JodM0A7xEM7k3YD,hit,Katy Perry Featuring Skip Marley,Chained To The Rhythm,0.0814,0.446,237733,0.8,0.0,0.199,-5.404,0.174,189.89,0.474,1,0,4
5Ohxk2dO5COHF1krpoPigN,hit,Harry Styles,Sign Of The Times,0.0275,0.516,340707,0.595,0.0,0.109,-4.63,0.0313,119.972,0.222,1,5,4
6HZILIRieu8S0iqY8kIKhj,hit,Kendrick Lamar,DNA.,0.00454,0.638,185947,0.523,0.0,0.0842,-6.664,0.357,139.913,0.422,1,1,4
2yLa0QULdQr0qAIvVwN6B5,non-hit,Taylor Swift,...Ready For It?,0.0527,0.613,208187,0.764,0.0,0.197,-6.509,0.136,160.015,0.417,1,2,4
09mEdoA6zrmBPgTEN5qXmN,hit,The Weeknd,Call Out My Name,0.17,0.461,228373,0.593,0.0,0.307,-4.954,0.0356,134.17,0.175,1,1,3
2xLMifQCjDGFmkHkpNLD9h,hit,Travis Scott,Sicko Mode,0.00513,0.834,312820,0.73,0.0,0.124,-3.714,0.222,155.008,0.446,1,8,4
6epn3r7S14KUqlReYr77hA,hit,Justin Bieber Featuring Ludacris,Baby,0.0401,0.728,214240,0.86,0.0,0.111,-5.237,0.137,65.043,0.535,0,5,4
6b8Be6ljOzmkOmFslEb23P,hit,Bruno Mars,24K Magic,0.034,0.818,225983,0.803,0.0,0.153,-4.282,0.0797,106.97,0.632,1,1,4
5BQrp63SHCVf4bzCzJePne,non-hit,Lil Wayne Featuring XXXTENTACION,Don't Cry,0.409,0.585,249450,0.709,0.0,0.183,-6.072,0.319,111.913,0.21,1,8,4
