_id,class,artists,name,acousticness,danceability,duration_ms,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,mode,key,time_signature
5df4aa6cd3c89323b4ae9fc5,hit,Jason Derulo,Don't Wanna Go Home,0.02,0.671,206080,0.808,0.0,0.134,-4.861,0.0652,121.956,0.637,0,2,4
5df4aa6cd3c89323b4ae9fc6,hit,Maroon 5 Featuring Kendrick Lamar,Don't Wanna Know,0.343,0.783,214265,0.61,0.0,0.0983,-6.124,0.0696,100.047,0.418,1,7,4
5df4aa6cd3c89323b4ae9fc7,non-hit,Brett Eldredge,Don't Ya,0.0566,0.537,181210,0.693,0.0,0.146,-5.256,0.0847,176.004,0.581,1,9,4
5df4aa6cd3c89323b4ae9fc8,hit,Britney Spears,3,0.0452,0.697,213173,0.709,0.0,0.138,-1.917,0.0455,134.91,0.787,0,5,4
5df4aa6cd3c89323b4ae9fc9,hit,Lady Gaga,Born This Way,0.00327,0.587,260253,0.828,0.0,0.331,-5.108,0.161,123.907,0.494,1,11,4
5df4aa6cd3c89323b4ae9fca,hit,Katy Perry,Part Of Me,0.000417,0.678,216160,0.918,0.0,0.0744,-4.63,0.0355,130.028,0.769,1,5,4
5df4aa6cd3c89323b4ae9fcb,hit,Taylor Swift,Shake It Off,0.0561,0.648,219200,0.785,0.0,0.148,-5.414,0.165,160.02,0.943,1,7,4
5df4aa6cd3c89323b4ae9fcc,hit,Zayn,Pillowtalk,0.117,0.584,202747,0.7,0.0,0.0939,-4.275,0.0456,124.944,0.438,1,11,4
5df4aa6cd3c89323b4ae9fcd,hit,Justin Timberlake,Can't Stop The Feeling!,0.0106,0.669,237547,0.832,0.0,0.0968,-5.72,0.0682,113.035,0.7,1,0,4
5df4aa6cd3c89323b4ae9fce,hit,Ed Sheeran,Shape Of You,0.581,0.825,233713,0.652,0.0,0.0931,-3.183,0.0802,95.977,0.931,0,1,4
5df4aa6cd3c89323b4ae9fcf,non-hit,Ariana Grande,"Thank U, Next",0.229,0.717,207320,0.653,0.0,0.101,-5.634,0.0658,106.966,0.412,1,1,4
5df4aa6cd3c89323b4ae9fd0,hit,Miley Cyrus,Party In The U.S.A.,0.00112,0.652,202067,0.698,0.000115,0.0886,-4.667,0.042,96.021,0.47,0,10,4
5df4aa6cd3c89323b4ae9fd1,hit,Katy Perry Featuring Snoop Dogg,California Gurls,0.00446,0.791,234653,0.754,0.0,0.163,-3.729,0.0569,125.014,0.425,1,0,4
5df4aa6cd3c89323b4ae9fd2,hit,Justin Bieber,Boyfriend,0.0358,0.717,171333,0.55,0.00196,0.126,-6.019,0.0521,96.976,0.332,0,10,4
5df4aa6cd3c89323b4ae9fd3,hit,One Direction,Best Song Ever,0.0227,0.652,200107,0.877,0.0,0.0789,-2.986,0.0465,118.491,0.486,1,1,4
5df4aa6cd3c89323b4ae9fd4,hit,Justin Bieber,Sorry,0.0797,0.654,200787,0.76,0.0,0.299,-3.669,0.045,99.945,0.41,0,0,4
5df4aa6cd3c89323b4ae9fd5,hit,Major Lazer Featuring Justin Bieber & MO,Cold Water,0.0736,0.608,185360,0.798,0.0,0.156,-5.092,0.0432,92.943,0.501,0,6,4
5df4aa6cd3c89323b4ae9fd6,hit,Post Malone Featuring 21 Savage,Rockstar,0.124,0.585,218147,0.52,7.01e-05,0.131,-6.136,0.0712,159.801,0.129,0,5,4
5df4aa6cd3c89323b4ae9fd7,hit,Post Malone Featuring Ty Dolla $ign,Psycho,0.546,0.75,221440,0.56,0.0,0.111,-8.094,0.105,140.06,0.459,1,8,4
5df4aa6cd3c89323b4ae9fd8,hit,Lady Gaga,The Edge Of Glory,0.000343,0.581,320587,0.772,0.0191,0.11,-6.544,0.0401,127.952,0.361,1,9,4
5df4aa6cd3c89323b4ae9fd9,hit,Lil Wayne Featuring Drake,She Will,0.000402,0.364,305840,0.841,0.0,0.242,-4.831,0.119,100.14,0.0837,1,8,5
5df4aa6cd3c89323b4ae9fda,hit,Maroon 5 Featuring Wiz Khalifa,Payphone,0.0136,0.739,231387,0.756,0.0,0.37,-4.828,0.0394,110.028,0.523,1,4,4
5df4aa6cd3c89323b4ae9fdb,hit,Eminem,Berzerk,0.0217,0.739,238746,0.872,0.0,0.26,-4.059,0.333,95.084,0.684,0,11,4
5df4aa6cd3c89323b4ae9fdc,hit,Ariana Grande Featuring Iggy Azalea,Problem,0.0192,0.66,193920,0.805,8.83e-06,0.159,-5.352,0.153,103.009,0.625,0,1,4
5df4aa6cd3c89323b4ae9fdd,hit,Katy Perry Featuring Skip Marley,Chained To The Rhythm,0.0814,0.446,237733,0.8,0.0,0.199,-5.404,0.174,189.89,0.474,1,0,4
