,Performer,Song,Tag,Type
0,Justin Timberlake,Can't Stop The Feeling!,Celebration,Hits
1,Justin Timberlake,Can't Stop The Feeling!,Cool & Cocky,Hits
2,Justin Timberlake,Can't Stop The Feeling!,Dance Party,Hits
3,Miley Cyrus,Party In The U.S.A.,Celebration,Hits
4,Miley Cyrus,Party In The U.S.A.,Freedom,Hits
5,Miley Cyrus,Party In The U.S.A.,Girls Night Out,Hits
6,Miley Cyrus,Party In The U.S.A.,Hanging Out,Hits
7,Miley Cyrus,Party In The U.S.A.,Partying,Hits
8,Bruno Mars,24K Magic,Cool & Cocky,Hits
9,Bruno Mars,24K Magic,Girls Night Out,Hits
10,Bruno Mars,24K Magic,Guys Night Out,Hits
11,Lady Gaga,Bad Romance,Club,Hits
12,Lady Gaga,Bad Romance,Heartache,Hits
13,Lady Gaga,Bad Romance,In Love,Hits
14,Lady Gaga,Bad Romance,Girls Night Out,Hits
15,Lady Gaga,Bad Romance,Partying,Hits
16,B.o.B Featuring Hayley Williams,Airplanes,Rainy Day,Hits
17,B.o.B Featuring Hayley Williams,Airplanes,Reflection,Hits
18,B.o.B Featuring Hayley Williams,Airplanes,Feeling Blue,Hits
19,B.o.B Featuring Hayley Williams,Airplanes,Solitude,Hits
20,Luke Bryan,That's My Kind Of Night,Cool & Cocky,Hits
21,Luke Bryan,That's My Kind Of Night,Guys Night Out,Hits
22,Luke Bryan,That's My Kind Of Night,TGIF,Hits
23,5 Seconds Of Summer,Amnesia,Heartache,Hits
24,Sam Hunt,Leave The Night On,Hanging Out,Hits
25,Sam Hunt,Leave The Night On,New Love,Hits
26,Sam Hunt,Leave The Night On,Partying,Hits
27,Marshmello & Anne-Marie,Friends,Girls Night Out,Hits
28,Marshmello & Anne-Marie,Friends,Hanging Out,Hits
29,Marshmello & Anne-Marie,Friends,Mischievous,Hits
30,Jesse McCartney Featuring Ludacris,How Do You Sleep?,Girls Night Out,Hits
31,Jesse McCartney Featuring Ludacris,How Do You Sleep?,Club,Hits
32,Jesse McCartney Featuring Ludacris,How Do You Sleep?,Heartache,Hits
33,Jesse McCartney Featuring Ludacris,How Do You Sleep?,In Love,Hits
34,Jesse McCartney Featuring Ludacris,How Do You Sleep?,Summer,Hits
35,Fall Out Boy,My Songs Know What You Did In The Dark (Light Em Up),Anger/Hostility,Hits
36,Fall Out Boy,My Songs Know What You Did In The Dark (Light Em Up),Exercise/Workout,Hits
37,Fall Out Boy,My Songs Know What You Did In The Dark (Light Em Up),Partying,Hits
38,Taylor Swift,Delicate,In Love,Hits
39,Taylor Swift,Delicate,New Love,Hits
40,Beyonce,7/11,Cool & Cocky,Hits
41,Beyonce,7/11,Drinking,Hits
42,Beyonce,7/11,Exercise/Workout,Hits
43,Nicki Minaj,Anaconda,Cool & Cocky,Hits
44,Nicki Minaj,Anaconda,Girls Night Out,Hits
45,Nicki Minaj,Anaconda,Sex,Hits
46,Jay Sean Featuring Sean Paul & Lil Jon,Do You Remember,Late Night,Hits
47,Jay Sean Featuring Sean Paul & Lil Jon,Do You Remember,Seduction,Hits
48,Jay Sean Featuring Sean Paul & Lil Jon,Do You Remember,Club,Hits
49,Jay Sean Featuring Sean Paul & Lil Jon,Do You Remember,Hanging Out,Hits
50,Jay Sean Featuring Sean Paul & Lil Jon,Do You Remember,Girls Night Out,Hits
51,Lady Gaga Featuring Beyonce,Telephone,Celebration,Hits
52,Lady Gaga Featuring Beyonce,Telephone,Club,Hits
53,Lady Gaga Featuring Beyonce,Telephone,Freedom,Hits
54,Lady Gaga Featuring Beyonce,Telephone,Partying,Hits
55,Lady Gaga Featuring Beyonce,Telephone,TGIF,Hits
56,Jason Derulo,Ridin' Solo,Breakup,Hits
57,Jason Derulo,Ridin' Solo,Cool & Cocky,Hits
58,Jason Derulo,Ridin' Solo,Freedom,Hits
59,Shakira,She Wolf,Club,Hits
60,Shakira,She Wolf,Girls Night Out,Hits
61,Shakira,She Wolf,Partying,Hits
62,Shakira,She Wolf,Seduction,Hits
63,Shakira,She Wolf,Sex,Hits
64,Shakira,She Wolf,TGIF,Hits
65,Drake,Over,Celebration,Hits
66,Drake,Over,Cool & Cocky,Hits
67,Drake,Over,Freedom,Hits
68,Drake,Over,Partying,Hits
69,Drake,Over,Guys Night Out,Hits
70,Demi Lovato,Cool For The Summer,Pool Party,Hits
71,The Black Eyed Peas,Rock That Body,Partying,Hits
72,The Black Eyed Peas,Rock That Body,TGIF,Hits
73,The Black Eyed Peas,Rock That Body,Club,Hits
74,The Black Eyed Peas,Rock That Body,Girls Night Out,Hits
75,The Black Eyed Peas,Rock That Body,Sex,Hits
76,Lady Gaga,Poker Face,Club,Hits
77,Lady Gaga,Poker Face,Girls Night Out,Hits
78,Lady Gaga,Poker Face,Late Night,Hits
79,Lady Gaga,Poker Face,Seduction,Hits
80,Lady Gaga,Poker Face,Sex,Hits
81,Lady Gaga,Poker Face,TGIF,Hits
82,Michael Jackson & Justin Timberlake,Love Never Felt So Good,Affection/Fondness,Hits
83,Michael Jackson & Justin Timberlake,Love Never Felt So Good,In Love,Hits
84,Michael Jackson & Justin Timberlake,Love Never Felt So Good,Passion,Hits
85,Boys Like Girls,Love Drunk,Day Driving,Hits
86,Boys Like Girls,Love Drunk,Summer,Hits
87,Boys Like Girls,Love Drunk,Breakup,Hits
88,Boys Like Girls,Love Drunk,Hanging Out,Hits
89,Boys Like Girls,Love Drunk,Heartache,Hits
90,Rob Thomas,Her Diamonds,Guys Night Out,Hits
91,Rob Thomas,Her Diamonds,Late Night,Hits
92,Rob Thomas,Her Diamonds,New Love,Hits
93,Rob Thomas,Her Diamonds,Reflection,Hits
94,Eminem,Not Afraid,Empowering,Hits
95,Eminem,Not Afraid,Motivation,Hits
96,Eminem,Not Afraid,Victory,Hits
97,"DJ Khaled Featuring Justin Bieber, Quavo, Chance The Rapper & Lil Wayne",I'm The One,Pain,Hits
98,"DJ Khaled Featuring Justin Bieber, Quavo, Chance The Rapper & Lil Wayne",I'm The One,Regret,Hits
99,"DJ Khaled Featuring Justin Bieber, Quavo, Chance The Rapper & Lil Wayne",I'm The One,Tragedy,Hits
100,The Black Eyed Peas,I Gotta Feeling,Partying,Hits
101,The Black Eyed Peas,I Gotta Feeling,TGIF,Hits
102,The Black Eyed Peas,I Gotta Feeling,Club,Hits
103,The Black Eyed Peas,I Gotta Feeling,Girls Night Out,Hits
104,The Black Eyed Peas,I Gotta Feeling,Sex,Hits
105,Linkin Park,New Divide,Empowering,Hits
